"Individual ID","Freezer","Location","Box","Column","Row"
"11975","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11994","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","C"
"12352","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"1558","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","D"
"1558","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","F"
"1835","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"1923","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11820","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11823","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11826","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11827","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11833","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","B"
"11834","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","E"
"11841","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11845","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11848","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11851","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","E"
"11873","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","C"
"11878","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11884","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11900","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11907","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","D"
"11930","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11942","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11947","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","F"
"11961","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11984","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"12007","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","F"
"12344","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","G"
"12344","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","G"
"12344","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","G"
"12345","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","G"
"12347","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","G"
"12348","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","G"
