"Brainbank ID","Location Freezer","Location","Box","Column","Row","Region",""
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","F","Cortex 31",""
"11930","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","C","",""
"11942","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","23 R Sl1 Cortex",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","E","Cortex",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","2 Basal Ganglia",""
"11831","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","",""
"11832","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","L Cortex",""
"12352","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex Right",""
"11920","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","",""
"12499","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 9",""
"11950","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 3",""
"11968","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 13",""
"11975","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex 1",""
"11994","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"12017","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","C","2 Basal Ganglia",""
"12352","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex Left",""
"1558","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","D","forebrain,",""
"1558","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","F","forebrain,",""
"1835","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"1923","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","forebrain,",""
"11820","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11823","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11826","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11827","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11833","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","B","cortex,",""
"11834","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","E","cortex,",""
"11841","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11845","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11848","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","forebrain,",""
"11851","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","E","cortex,",""
"11873","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","C","cortex,",""
"11878","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11884","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11900","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11907","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","D","telencephalon,",""
"11930","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11942","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11947","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","F","telencephalon,",""
"11961","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"11984","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","telencephalon,",""
"12007","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","F","cortex,",""
"12344","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","G","telencephalon,",""
"12344","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","G","telencephalon,",""
"12344","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","8","G","telencephalon,",""
"12345","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","G","telencephalon,",""
"12347","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","G","forebrain,",""
"12348","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","G","forebrain,",""
"12907","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","G","telencephalon,",""
"13334","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","G","telencephalon,",""
"13334","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","G","telencephalon,",""
"13946","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","G","Rt Frontal Lobe",""
"13948","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","H","Fragment of Cortex",""
"1281","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","forebrain,",""
"2018","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","cortex,",""
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","F","cortex,",""
"11833","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","A","Temporal Lobe",""
"11974","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","A","telencephalon,",""
"14917","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","A","Forebrain",""
"14945","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","A","Cortex",""
"14962","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","A","Cortex",""
"14976","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","A","Forebrain",""
